,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
141582,2023-05-06,6,May,2023,35,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",7,9,24,103,63,166,Medium,White,Carbon Fiber,Lifetime,Manufacturer A,5,6.82,9,3,False,86.44,DHL,Next Day,Basic,30 Days
141587,2023-04-29,29,April,2023,55,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",16,9,24,236,144,380,Small,Green,Carbon Fiber,Lifetime,Manufacturer B,2,8.57,7,28,True,57.31,DHL,Express,Basic,60 Days
141594,2023-05-25,25,May,2023,52,Adults (35-64),F,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, L",5,9,24,49,45,94,Extra Large,Red,Plastic,2 Years,Manufacturer B,1,12.25,6,14,True,62.21,FedEx,Express,,7 Days
141600,2023-12-03,3,December,2023,46,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",13,9,24,192,117,309,Large,Blue,Carbon Fiber,Lifetime,Manufacturer B,5,6.62,7,3,False,56.92,DHL,Next Day,,No Return
141601,2023-12-03,3,December,2023,46,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",15,9,24,221,135,356,Large,White,Carbon Fiber,2 Years,Manufacturer C,1,6.57,3,12,False,98.27,FedEx,Same Day,Premium,60 Days
141602,2023-11-20,20,November,2023,27,Young Adults (25-34),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, S",3,9,24,36,27,63,Small,White,Carbon Fiber,1 Year,Manufacturer C,3,1.75,3,19,False,84.36,UPS,Next Day,Basic,60 Days
141623,2023-06-23,23,June,2023,30,Young Adults (25-34),M,France,Moselle,Clothing,Gloves,"Half-Finger Gloves, L",23,9,24,279,207,486,Medium,Black,Steel,Lifetime,Manufacturer A,1,1.15,6,12,True,49.29,FedEx,Next Day,Premium,No Return
141630,2023-02-26,26,February,2023,21,Youth (<25),F,France,Seine Saint Denis,Clothing,Gloves,"Half-Finger Gloves, L",20,9,24,214,180,394,Small,Green,Aluminum,1 Year,Manufacturer C,5,14.14,4,6,False,51.3,DHL,Express,,No Return
141634,2023-05-22,22,May,2023,22,Youth (<25),F,France,Essonne,Clothing,Gloves,"Half-Finger Gloves, S",20,9,24,281,180,461,Large,Green,Carbon Fiber,2 Years,Manufacturer C,4,10.17,1,28,False,87.19,FedEx,Next Day,Basic,60 Days
141648,2023-09-09,9,September,2023,31,Young Adults (25-34),M,France,Essonne,Clothing,Gloves,"Half-Finger Gloves, S",9,9,24,126,81,207,Large,Red,Steel,1 Year,Manufacturer C,2,0.62,7,18,False,31.23,Posti,Standard,,No Return
141653,2023-10-28,28,October,2023,22,Youth (<25),M,Germany,Nordrhein-Westfalen,Clothing,Gloves,"Half-Finger Gloves, M",1,9,24,12,9,21,Extra Large,White,Carbon Fiber,Lifetime,Manufacturer D,5,8.99,5,22,False,84.52,DHL,Standard,Basic,7 Days
141672,2023-02-22,22,February,2023,17,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",7,9,24,102,63,165,Extra Large,White,Plastic,3 Years,Manufacturer C,4,11.85,4,23,True,76.23,DHL,Next Day,Premium,60 Days
141680,2023-05-04,4,May,2023,44,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",28,9,24,407,252,659,Small,Blue,Steel,Lifetime,Manufacturer A,3,2.99,9,12,True,75.8,DHL,Same Day,Basic,60 Days
141682,2023-01-10,10,January,2023,59,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",10,9,24,145,90,235,Extra Large,Black,Steel,1 Year,Manufacturer D,2,13.02,6,12,True,84.81,FedEx,Express,,30 Days
141683,2023-01-10,10,January,2023,59,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",9,9,24,131,81,212,Large,Blue,Plastic,1 Year,Manufacturer C,5,11.5,1,12,True,55.42,UPS,Next Day,,No Return
141697,2023-12-08,8,December,2023,22,Youth (<25),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",10,9,24,145,90,235,Small,Red,Plastic,1 Year,Manufacturer A,3,3.18,5,20,False,14.61,GLS,Next Day,Premium,60 Days
141701,2023-07-15,15,July,2023,39,Adults (35-64),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",21,9,24,249,189,438,Medium,Black,Steel,Lifetime,Manufacturer A,5,2.56,8,20,True,34.35,UPS,Standard,Basic,No Return
141702,2023-06-05,5,June,2023,32,Young Adults (25-34),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",10,9,24,148,90,238,Large,Red,Carbon Fiber,2 Years,Manufacturer B,2,8.22,8,19,True,43.52,Posti,Standard,,30 Days
141710,2023-12-02,2,December,2023,51,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",26,9,24,378,234,612,Large,Green,Plastic,2 Years,Manufacturer B,1,4.33,7,22,False,98.65,UPS,Express,Premium,60 Days
141712,2023-12-25,25,December,2023,51,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",24,9,24,348,216,564,Small,Blue,Aluminum,3 Years,Manufacturer A,1,9.33,5,7,False,54.07,GLS,Same Day,,30 Days
141720,2023-11-15,15,November,2023,46,Adults (35-64),M,Germany,Saarland,Clothing,Gloves,"Half-Finger Gloves, L",3,9,24,32,27,59,Small,Blue,Plastic,3 Years,Manufacturer C,2,2.19,4,2,False,67.9,FedEx,Standard,Basic,60 Days
141740,2023-12-06,6,December,2023,29,Young Adults (25-34),M,Australia,South Australia,Clothing,Gloves,"Half-Finger Gloves, S",4,9,24,43,36,79,Medium,Green,Aluminum,Lifetime,Manufacturer D,5,12.59,7,15,True,24.53,DHL,Next Day,,No Return
141742,2023-10-24,24,October,2023,37,Adults (35-64),M,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, S",27,9,24,301,243,544,Large,Blue,Steel,3 Years,Manufacturer B,4,6.83,3,0,False,21.95,Posti,Same Day,Basic,7 Days
141753,2023-11-15,15,November,2023,20,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",16,9,24,232,144,376,Small,Blue,Steel,2 Years,Manufacturer C,3,14.95,4,12,False,97.35,UPS,Express,Premium,30 Days
141754,2023-01-22,22,January,2023,20,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",18,9,24,261,162,423,Large,White,Carbon Fiber,2 Years,Manufacturer A,4,1.81,8,20,True,9.14,GLS,Express,Basic,No Return
141779,2023-09-30,30,September,2023,50,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, M",11,9,24,107,99,206,Extra Large,White,Plastic,3 Years,Manufacturer D,5,2.58,4,5,False,89.89,Posti,Standard,Premium,7 Days
141797,2023-05-12,12,May,2023,25,Young Adults (25-34),M,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, M",29,9,24,407,261,668,Large,Black,Steel,3 Years,Manufacturer A,3,12.97,1,3,False,25.58,FedEx,Next Day,Premium,60 Days
141800,2023-11-14,14,November,2023,43,Adults (35-64),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",8,9,24,118,72,190,Small,Blue,Aluminum,3 Years,Manufacturer B,4,12.2,5,15,False,36.65,UPS,Same Day,,No Return
141811,2023-07-17,17,July,2023,40,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",9,9,24,131,81,212,Small,White,Steel,1 Year,Manufacturer A,1,10.53,7,25,False,84.58,GLS,Standard,Premium,60 Days
141830,2023-06-21,21,June,2023,40,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",8,9,24,116,72,188,Large,Black,Steel,2 Years,Manufacturer D,3,12.81,6,7,True,66.28,FedEx,Express,Basic,60 Days
141831,2023-06-21,21,June,2023,40,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",10,9,24,145,90,235,Medium,Black,Carbon Fiber,3 Years,Manufacturer D,1,2.07,6,25,False,26.06,Posti,Next Day,,60 Days
141834,2023-12-07,7,December,2023,39,Adults (35-64),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",20,9,24,295,180,475,Small,Blue,Steel,Lifetime,Manufacturer C,5,6.01,7,22,False,9.3,FedEx,Standard,Basic,7 Days
141843,2023-12-20,20,December,2023,36,Adults (35-64),M,Germany,Saarland,Clothing,Gloves,"Half-Finger Gloves, S",26,9,24,278,234,512,Extra Large,Green,Carbon Fiber,3 Years,Manufacturer B,4,14.1,8,12,True,89.77,Posti,Next Day,,No Return
141868,2023-05-06,6,May,2023,19,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",23,9,24,334,207,541,Medium,Red,Plastic,3 Years,Manufacturer A,4,11.31,3,3,True,20.75,GLS,Same Day,Basic,60 Days
141901,2023-01-02,2,January,2023,39,Adults (35-64),M,Germany,Saarland,Clothing,Gloves,"Half-Finger Gloves, M",30,9,24,320,270,590,Extra Large,Black,Steel,1 Year,Manufacturer C,2,6.86,6,28,False,78.51,Posti,Express,,7 Days
141902,2023-02-08,8,February,2023,21,Youth (<25),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, S",23,9,24,273,207,480,Large,White,Aluminum,3 Years,Manufacturer C,2,13.59,5,28,True,42.59,FedEx,Same Day,Premium,No Return
141920,2023-11-18,18,November,2023,29,Young Adults (25-34),F,Australia,Victoria,Clothing,Gloves,"Half-Finger Gloves, S",26,9,24,259,234,493,Large,White,Carbon Fiber,2 Years,Manufacturer A,4,0.73,3,21,True,79.67,DHL,Next Day,Premium,30 Days
141942,2023-11-24,24,November,2023,35,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, M",19,9,24,185,171,356,Extra Large,White,Steel,Lifetime,Manufacturer C,5,3.39,6,18,True,96.7,FedEx,Same Day,,7 Days
141951,2023-06-06,6,June,2023,35,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, M",21,9,24,204,189,393,Extra Large,Red,Plastic,3 Years,Manufacturer D,5,12.55,3,29,True,48.85,Posti,Next Day,Premium,60 Days
141959,2023-06-06,6,June,2023,41,Adults (35-64),M,Australia,South Australia,Clothing,Gloves,"Half-Finger Gloves, M",21,9,24,224,189,413,Large,Red,Steel,Lifetime,Manufacturer C,5,3.45,8,13,True,80.89,GLS,Next Day,Premium,7 Days
141960,2023-09-18,18,September,2023,31,Young Adults (25-34),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",19,9,24,276,171,447,Medium,Green,Aluminum,Lifetime,Manufacturer D,3,7.23,7,4,True,76.35,DHL,Next Day,,7 Days
141972,2023-09-10,10,September,2023,40,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, M",29,9,24,428,261,689,Small,Green,Carbon Fiber,3 Years,Manufacturer A,5,1.0,7,0,True,51.05,FedEx,Standard,Premium,60 Days
141973,2023-09-10,10,September,2023,40,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, M",31,9,24,458,279,737,Small,White,Steel,1 Year,Manufacturer C,5,1.53,5,0,False,45.23,GLS,Same Day,,30 Days
142005,2023-02-20,20,February,2023,27,Young Adults (25-34),F,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, S",22,9,24,309,198,507,Extra Large,Black,Steel,2 Years,Manufacturer B,2,12.47,5,11,True,95.85,FedEx,Express,Premium,No Return
142025,2023-06-09,9,June,2023,24,Youth (<25),F,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, M",3,9,24,42,27,69,Extra Large,White,Carbon Fiber,Lifetime,Manufacturer A,2,8.57,5,25,True,27.3,GLS,Standard,,No Return
142042,2023-11-19,19,November,2023,34,Young Adults (25-34),M,France,Nord,Clothing,Gloves,"Half-Finger Gloves, M",15,9,24,178,135,313,Large,Black,Aluminum,3 Years,Manufacturer A,2,11.89,7,20,False,51.64,GLS,Standard,,30 Days
142051,2023-01-18,18,January,2023,50,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",18,9,24,261,162,423,Large,Green,Carbon Fiber,1 Year,Manufacturer D,4,11.38,6,25,True,23.11,Posti,Standard,,30 Days
142052,2023-07-19,19,July,2023,50,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",4,9,24,58,36,94,Extra Large,Green,Steel,2 Years,Manufacturer A,1,5.31,3,23,True,59.91,DHL,Next Day,,No Return
142073,2023-03-19,19,March,2023,36,Adults (35-64),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",8,9,24,95,72,167,Large,Red,Aluminum,3 Years,Manufacturer D,1,8.18,4,16,True,23.93,GLS,Same Day,Premium,30 Days
142084,2023-02-17,17,February,2023,38,Adults (35-64),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, M",8,9,24,95,72,167,Small,Red,Aluminum,1 Year,Manufacturer C,5,2.98,9,14,True,64.42,GLS,Express,,No Return
142092,2023-01-18,18,January,2023,57,Adults (35-64),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, M",12,9,24,143,108,251,Extra Large,Green,Carbon Fiber,2 Years,Manufacturer A,5,6.73,4,12,True,58.71,Posti,Express,Basic,60 Days
142096,2023-05-02,2,May,2023,18,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, M",18,9,24,261,162,423,Small,Black,Carbon Fiber,2 Years,Manufacturer A,5,9.4,3,12,False,48.38,DHL,Same Day,Basic,60 Days
142101,2023-08-02,2,August,2023,19,Youth (<25),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",4,9,24,59,36,95,Large,Green,Plastic,Lifetime,Manufacturer B,2,9.87,6,9,True,51.34,DHL,Next Day,,7 Days
142111,2023-02-14,14,February,2023,34,Young Adults (25-34),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",30,9,24,436,270,706,Extra Large,Black,Carbon Fiber,3 Years,Manufacturer A,1,4.39,9,2,True,38.82,UPS,Express,Basic,No Return
142117,2023-05-24,24,May,2023,34,Young Adults (25-34),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",2,9,24,29,18,47,Medium,Blue,Plastic,1 Year,Manufacturer C,2,13.77,2,13,False,56.56,GLS,Same Day,,30 Days
142121,2023-11-14,14,November,2023,42,Adults (35-64),F,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",27,9,24,262,243,505,Medium,Red,Aluminum,2 Years,Manufacturer D,1,6.73,4,9,False,31.78,FedEx,Standard,Premium,No Return
142156,2023-11-17,17,November,2023,26,Young Adults (25-34),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, M",11,9,24,131,99,230,Small,White,Carbon Fiber,Lifetime,Manufacturer B,3,7.86,4,0,False,85.08,FedEx,Same Day,Premium,30 Days
142162,2023-03-30,30,March,2023,52,Adults (35-64),F,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, S",18,9,24,253,162,415,Large,White,Carbon Fiber,Lifetime,Manufacturer B,1,12.79,4,1,False,31.05,DHL,Standard,Premium,No Return
142168,2023-03-13,13,March,2023,49,Adults (35-64),F,France,Nord,Clothing,Gloves,"Half-Finger Gloves, M",13,9,24,154,117,271,Medium,Red,Plastic,1 Year,Manufacturer C,4,3.15,2,5,False,95.68,FedEx,Next Day,,No Return
142169,2023-03-13,13,March,2023,49,Adults (35-64),F,France,Nord,Clothing,Gloves,"Half-Finger Gloves, M",13,9,24,154,117,271,Large,White,Steel,1 Year,Manufacturer C,1,13.32,9,18,False,85.94,UPS,Express,Premium,No Return
142180,2023-04-24,24,April,2023,46,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, L",13,9,24,126,117,243,Extra Large,Red,Carbon Fiber,3 Years,Manufacturer C,5,10.34,2,26,False,73.14,Posti,Next Day,,7 Days
142191,2023-10-14,14,October,2023,24,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",6,9,24,87,54,141,Large,Black,Aluminum,Lifetime,Manufacturer B,4,3.45,2,9,False,52.18,FedEx,Express,Premium,30 Days
142199,2023-05-25,25,May,2023,27,Young Adults (25-34),M,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, L",16,9,24,186,144,330,Large,White,Plastic,2 Years,Manufacturer C,2,14.35,3,25,False,60.99,Posti,Express,,60 Days
142203,2023-02-16,16,February,2023,30,Young Adults (25-34),F,Germany,Saarland,Clothing,Gloves,"Half-Finger Gloves, L",11,9,24,117,99,216,Small,Black,Carbon Fiber,Lifetime,Manufacturer B,3,4.7,7,27,True,79.68,UPS,Next Day,Premium,7 Days
142206,2023-01-02,2,January,2023,65,Seniors (64+),F,France,Nord,Clothing,Gloves,"Half-Finger Gloves, L",26,9,24,309,234,543,Small,Black,Carbon Fiber,3 Years,Manufacturer A,2,4.99,8,17,True,38.97,GLS,Same Day,Basic,60 Days
142216,2023-05-04,4,May,2023,31,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Clothing,Gloves,"Half-Finger Gloves, S",26,9,24,309,234,543,Small,Green,Carbon Fiber,Lifetime,Manufacturer D,3,9.93,7,12,True,10.68,FedEx,Same Day,Premium,30 Days
142229,2023-05-20,20,May,2023,22,Youth (<25),F,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, L",17,9,24,239,153,392,Small,Blue,Carbon Fiber,2 Years,Manufacturer D,3,10.71,8,2,True,81.14,GLS,Same Day,Premium,30 Days
142266,2023-07-19,19,July,2023,45,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, L",4,9,24,39,36,75,Medium,Green,Plastic,Lifetime,Manufacturer D,5,7.09,4,25,True,7.5,Posti,Standard,Premium,No Return
142268,2023-05-19,19,May,2023,35,Adults (35-64),F,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, S",24,9,24,268,216,484,Extra Large,Black,Plastic,Lifetime,Manufacturer A,2,2.78,8,17,True,60.81,DHL,Next Day,Premium,No Return
142290,2023-10-15,15,October,2023,32,Young Adults (25-34),F,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, M",26,9,24,253,234,487,Medium,Blue,Steel,1 Year,Manufacturer B,2,14.3,7,18,True,95.18,FedEx,Express,Basic,No Return
142293,2023-04-26,26,April,2023,72,Seniors (64+),F,France,Yveline,Clothing,Gloves,"Half-Finger Gloves, S",27,9,24,249,243,492,Large,Blue,Carbon Fiber,1 Year,Manufacturer B,2,3.5,6,22,True,73.02,FedEx,Express,Premium,No Return
142306,2023-10-22,22,October,2023,48,Adults (35-64),M,Germany,Saarland,Clothing,Gloves,"Half-Finger Gloves, M",21,9,24,224,189,413,Large,Black,Steel,1 Year,Manufacturer C,2,4.32,7,15,False,52.02,FedEx,Express,Basic,7 Days
142310,2023-06-12,12,June,2023,19,Youth (<25),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",14,9,24,136,126,262,Extra Large,Red,Aluminum,1 Year,Manufacturer B,2,12.24,8,9,True,16.85,Posti,Same Day,,No Return
142318,2023-11-02,2,November,2023,24,Youth (<25),M,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, L",26,9,24,303,234,537,Medium,Black,Plastic,3 Years,Manufacturer B,3,14.57,5,12,True,86.99,FedEx,Next Day,Premium,30 Days
142327,2023-07-30,30,July,2023,29,Young Adults (25-34),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, S",17,9,24,202,153,355,Medium,Blue,Plastic,1 Year,Manufacturer C,3,7.81,5,2,True,64.07,DHL,Same Day,Basic,30 Days
142341,2023-01-13,13,January,2023,54,Adults (35-64),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",9,9,24,107,81,188,Medium,Black,Carbon Fiber,3 Years,Manufacturer D,1,7.76,2,16,True,57.51,Posti,Next Day,,No Return
142381,2023-08-02,2,August,2023,21,Youth (<25),M,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, S",21,9,24,234,189,423,Small,Black,Steel,1 Year,Manufacturer A,4,1.01,1,26,False,16.06,GLS,Next Day,Premium,7 Days
142389,2023-06-06,6,June,2023,47,Adults (35-64),F,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",1,9,24,10,9,19,Small,Green,Plastic,3 Years,Manufacturer D,1,14.81,5,29,True,64.12,FedEx,Next Day,Premium,30 Days
142393,2023-03-24,24,March,2023,47,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, L",1,9,24,10,9,19,Extra Large,Blue,Plastic,Lifetime,Manufacturer A,4,3.86,1,2,True,10.58,Posti,Standard,,30 Days
142397,2023-01-27,27,January,2023,46,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",25,9,24,363,225,588,Large,Green,Plastic,3 Years,Manufacturer C,4,14.7,9,13,False,59.23,FedEx,Next Day,Premium,7 Days
142398,2023-04-23,23,April,2023,46,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",23,9,24,334,207,541,Medium,Blue,Aluminum,3 Years,Manufacturer D,3,13.59,5,7,True,10.66,UPS,Express,Basic,No Return
142408,2023-12-16,16,December,2023,21,Youth (<25),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",30,9,24,436,270,706,Small,Black,Aluminum,Lifetime,Manufacturer B,3,9.64,7,15,True,64.73,DHL,Next Day,Premium,7 Days
142424,2023-12-30,30,December,2023,33,Young Adults (25-34),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, S",5,9,24,49,45,94,Extra Large,Green,Aluminum,3 Years,Manufacturer B,2,10.41,7,4,True,56.13,Posti,Standard,Basic,7 Days
142431,2023-10-10,10,October,2023,33,Young Adults (25-34),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",30,9,24,436,270,706,Large,White,Steel,1 Year,Manufacturer C,1,6.35,3,23,True,48.29,FedEx,Same Day,Basic,No Return
142455,2023-12-21,21,December,2023,31,Young Adults (25-34),M,France,Seine (Paris),Clothing,Gloves,"Half-Finger Gloves, L",12,9,24,128,108,236,Small,Blue,Steel,1 Year,Manufacturer A,5,10.47,5,24,False,36.69,DHL,Same Day,,30 Days
142460,2023-08-08,8,August,2023,44,Adults (35-64),F,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, M",12,9,24,168,108,276,Medium,Green,Aluminum,3 Years,Manufacturer D,1,11.82,9,15,False,56.11,GLS,Express,Basic,60 Days
142471,2023-04-10,10,April,2023,48,Adults (35-64),M,Germany,Nordrhein-Westfalen,Clothing,Gloves,"Half-Finger Gloves, M",1,9,24,12,9,21,Large,Blue,Carbon Fiber,3 Years,Manufacturer B,5,7.83,1,0,False,93.47,GLS,Next Day,Basic,60 Days
142472,2023-09-12,12,September,2023,58,Adults (35-64),F,United States,Oregon,Clothing,Gloves,"Half-Finger Gloves, S",16,9,24,186,144,330,Small,Black,Aluminum,3 Years,Manufacturer C,3,7.28,7,8,False,67.19,DHL,Next Day,,60 Days
142484,2023-11-11,11,November,2023,48,Adults (35-64),M,United States,Washington,Clothing,Gloves,"Half-Finger Gloves, M",17,9,24,165,153,318,Extra Large,Blue,Steel,2 Years,Manufacturer C,4,4.83,8,12,True,8.87,UPS,Standard,,7 Days
142487,2023-09-26,26,September,2023,47,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",10,9,24,145,90,235,Large,Black,Plastic,2 Years,Manufacturer B,1,5.34,2,7,True,61.11,GLS,Express,,7 Days
142489,2023-12-10,10,December,2023,47,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",21,9,24,305,189,494,Small,Black,Aluminum,Lifetime,Manufacturer A,1,7.27,7,6,True,29.64,GLS,Same Day,Premium,60 Days
142492,2023-03-09,9,March,2023,47,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",23,9,24,334,207,541,Medium,Red,Plastic,3 Years,Manufacturer D,5,11.72,6,10,False,20.88,Posti,Standard,Premium,60 Days
142498,2023-10-15,15,October,2023,49,Adults (35-64),M,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, M",23,9,24,273,207,480,Large,Blue,Aluminum,3 Years,Manufacturer C,5,0.56,5,8,False,49.48,UPS,Same Day,Premium,30 Days
142516,2023-12-07,7,December,2023,38,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",20,9,24,290,180,470,Large,Blue,Aluminum,3 Years,Manufacturer D,2,0.98,2,15,False,28.42,GLS,Same Day,Basic,7 Days
142518,2023-04-19,19,April,2023,38,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",13,9,24,189,117,306,Small,Green,Carbon Fiber,2 Years,Manufacturer C,1,6.57,4,4,False,56.98,FedEx,Same Day,Premium,60 Days
142520,2023-07-05,5,July,2023,38,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",17,9,24,247,153,400,Medium,Black,Steel,3 Years,Manufacturer C,4,7.92,8,8,True,10.04,UPS,Express,Premium,60 Days
142522,2023-08-24,24,August,2023,38,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",12,9,24,174,108,282,Small,White,Carbon Fiber,1 Year,Manufacturer A,5,13.54,3,2,True,79.5,FedEx,Same Day,,7 Days
142532,2023-07-23,23,July,2023,38,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",17,9,24,247,153,400,Small,Red,Carbon Fiber,1 Year,Manufacturer C,4,9.75,5,14,False,32.25,GLS,Express,Basic,60 Days
142534,2023-02-17,17,February,2023,32,Young Adults (25-34),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",24,9,24,354,216,570,Large,Black,Steel,3 Years,Manufacturer A,5,6.66,1,27,True,53.98,UPS,Same Day,Basic,60 Days
142543,2023-11-05,5,November,2023,43,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",16,9,24,232,144,376,Small,White,Carbon Fiber,3 Years,Manufacturer B,1,13.56,7,11,False,85.62,UPS,Next Day,Basic,30 Days
142545,2023-12-07,7,December,2023,43,Adults (35-64),F,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",5,9,24,73,45,118,Medium,Green,Aluminum,2 Years,Manufacturer C,3,13.35,4,8,True,64.96,DHL,Express,Premium,7 Days
142582,2023-01-04,4,January,2023,47,Adults (35-64),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",24,9,24,354,216,570,Small,Blue,Plastic,2 Years,Manufacturer A,4,12.34,5,13,False,25.39,GLS,Standard,,No Return
142584,2023-08-16,16,August,2023,30,Young Adults (25-34),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",24,9,24,354,216,570,Extra Large,Green,Aluminum,3 Years,Manufacturer C,3,6.85,2,12,True,19.01,UPS,Same Day,Premium,60 Days
142594,2023-05-05,5,May,2023,30,Young Adults (25-34),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",7,9,24,103,63,166,Extra Large,Red,Carbon Fiber,2 Years,Manufacturer B,4,13.31,3,29,False,83.6,GLS,Next Day,Basic,30 Days
